tmdbId,title,genres,info,tmdburl,rating_count,rating_avg,poster_path,year,trailer_url
11096,Hide and Seek,"Horror, Mystery","David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",https://www.themoviedb.org/movie/11096,1541,6.336,https://image.tmdb.org/t/p/original/orY4PX3TNFdCbdVwhKY32UKMvoA.jpg,2005,https://www.youtube.com/watch?v=o9uEkTPchIo
80795,Boso,Comedy,Jake (Jeffrey Quizon) is a caretaker at a boarding residence that houses a whole array of characters. But one day his life changes when he hovers over the lives of newlyweds Cecilia (Katya Santos) and Ding (Allen Dizon).,https://www.themoviedb.org/movie/80795,3,5.0,https://image.tmdb.org/t/p/original/xPhj0Js92vA6aePo8urOvbMxGmn.jpg,2005,
7453,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Science Fiction","Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",https://www.themoviedb.org/movie/7453,3808,6.7,https://image.tmdb.org/t/p/original/yr9A3KGQlxBh3yW0cmglsr8aMIz.jpg,2005,https://www.youtube.com/watch?v=MbGNcoB2Y4I
69,Walk the Line,"Drama, Music, Romance","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",https://www.themoviedb.org/movie/69,2818,7.499,https://image.tmdb.org/t/p/original/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg,2005,https://www.youtube.com/watch?v=pbQ22zWPYbw
6795,Zathura: A Space Adventure,"Science Fiction, Adventure, Family","After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",https://www.themoviedb.org/movie/6795,3236,6.43,https://image.tmdb.org/t/p/original/gDb5BW2NLqZ9cvg9nyzkZVvmgze.jpg,2005,https://www.youtube.com/watch?v=hxrF-X1yn6Q
50724,My Brother's Wife,"Romance, Drama","After almost 10 years of marriage, attractive Zoe discovers that her marriage lacks passion and surprise, and is seduced by the possibility of finding those sensations already forgotten in her husband's brother. From this premise a series of events lead these three characters to a dangerous game of revenges, secrets and passions. Two brothers and one woman: the triangle is outlined in a disquieting way. It is a bomb that triggers family secrets, the contained rage of desire and the unmanageable power of love. An exciting story that subjugates the viewer from beginning to end.  Even though Zoe/Sonia has been married to Ignacio/Ishan for about a decade, they are unable to have children. She wants to be intimate but he prefers to be ready for intimacy on Saturdays only, and she gets physically drawn to his artistic brother, Gonzalo/Rohan. Then things get complicated for her after she tests positive for motherhood and finds that her husband may be gay.",https://www.themoviedb.org/movie/50724,113,6.279,https://image.tmdb.org/t/p/original/bDB9p8z2vzbF6wJzWct0PwfXl4H.jpg,2005,https://www.youtube.com/watch?v=bEYmz74dZCk
10982,Hoodwinked!,"Animation, Comedy, Family, Crime","Little Red Riding Hood: A classic story, but there's more to every tale than meets the eye. Before you judge a book by its cover, you've got to flip through the pages. In the re-telling of this classic fable, the story begins at the end of the tale and winds its way back. Chief Grizzly and Detective Bill Stork investigate a domestic disturbance at Granny's cottage, involving a karate-kicking Red Riding Hood, a sarcastic wolf and an oafish Woodsman.",https://www.themoviedb.org/movie/10982,1724,6.229,https://image.tmdb.org/t/p/original/tjuMvHg7NJmE9hqKD3p86kW2Jvk.jpg,2005,https://www.youtube.com/watch?v=_WGv6Rgp72k
2117,Sophie Scholl: The Final Days,"Drama, History","In 1943, as Hitler continues to wage war across Europe, a group of college students mount an underground resistance movement in Munich. Dedicated expressly to the downfall of the monolithic Third Reich war machine, they call themselves the White Rose. One of its few female members, Sophie Scholl is captured during a dangerous mission to distribute pamphlets on campus with her brother Hans. Unwavering in her convictions and loyalty to the White Rose, her cross-examination by the Gestapo quickly escalates into a searing test of wills as Scholl delivers a passionate call to freedom and personal responsibility.",https://www.themoviedb.org/movie/2117,412,7.124,https://image.tmdb.org/t/p/original/aAbxubEzowWJNBWYG82wXcKuzZP.jpg,2005,https://www.youtube.com/watch?v=XM5A4ETW_Io
15657,Tarzan II,"Adventure, Animation, Family","When one of his missteps puts his family in jeopardy, Tarzan decides they would be better off without him.",https://www.themoviedb.org/movie/15657,1118,6.065,https://image.tmdb.org/t/p/original/VFm7cqSUrv6mCW6uFIJFhSZLjq.jpg,2005,https://www.youtube.com/watch?v=Fminm0hZ-eM
540,D.E.B.S.,"Action, Comedy, Romance",The star of a team of teenage crime fighters falls for the alluring villainess she must bring to justice.,https://www.themoviedb.org/movie/540,548,6.422,https://image.tmdb.org/t/p/original/cMwLTcG5aVBYeh5W6SVSfowboAf.jpg,2005,https://www.youtube.com/watch?v=ySFxUMCutV8
